itemId,title,price,original_price,discount_amount,currency,condition,url,location
v1|177678311335|0,EPIPHONE ALLEYKAT SEMI-HOLLOW FLAME TOP ELECTRIC GUITAR-GREAT CONDITION,351.99,399.99,48.00,USD,3000,https://www.ebay.com/itm/177678311335?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item295e73dfa7:g:0f0AAeSw7jRpQMbJ,US
v1|187869863229|0,Fender Player II Stratocaster HSS Plus Top Electric Guitar Blue Burst Finish,699.95,,,USD,3000,https://www.ebay.com/itm/187869863229?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item2bbdea9d3d:g:kmYAAeSw7jRpSbDu,US
v1|177683920104|0,Fender Player Plus Stratocaster 6-String Electric Guitar - Opal Spark,650.0,,,USD,3000,https://www.ebay.com/itm/177683920104?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item295ec974e8:g:5sIAAeSwfjZpQygl,US
v1|197980529756|0,2020 Gibson Les Paul Studio Electric Guitar Husk Sunburst,750.0,,,USD,3000,https://www.ebay.com/itm/197980529756?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item2e188f245c:g:pkIAAeSwkohpT1Xd,US
v1|147063554561|0,Fender Cabronita Telecaster Electric Guitar White Blonde 2012,795.0,,,USD,3000,https://www.ebay.com/itm/147063554561?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item223dabc201:g:rWMAAeSwzLRpVGG8,US
v1|147048560689|0,Fender Player Stratocaster Electric Guitar - Tidepool #5219,487.0,,,USD,3000,https://www.ebay.com/itm/147048560689?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item223cc6f831:g:ID8AAeSw5ChpSgeE,US
v1|146868780541|0,Fender American Performer Jazzmaster Alder BODY Satin Plum USA Electric Guitar,549.57,578.50,28.93,USD,3000,https://www.ebay.com/itm/146868780541?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item22320fbdfd:g:yqcAAeSwxT1o3rHr,US
v1|147063398312|0,Vintage Epiphone Les Paul Electric Guitar - 1997 Model  #R5702,389.95,,,USD,3000,https://www.ebay.com/itm/147063398312?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item223da95fa8:g:PoMAAeSwdpZpVCM-,US
v1|297881587955|0,Fender Player II Stratocaster Maple Fingerboard Electric Guitar Polar White,755.99,,,USD,1000,https://www.ebay.com/itm/297881587955?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item455b2050f3:g:UOUAAeSwhVxpUpPF,US
v1|168023649250|0,Fender Standard Strat Electric Guitar - Olympic White #M1170,529.95,,,USD,3000,https://www.ebay.com/itm/168023649250?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item271efd6be2:g:92YAAeSwae5pSatH,US
v1|277535868580|0,Fender Stratocaster 2004 Electric Guitar with/HSC  MIM,605.0,,,USD,3000,https://www.ebay.com/itm/277535868580?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item409e6d46a4:g:a54AAeSwdxdpJ3hA,US
v1|197987509776|0,Epiphone Les Paul Prophecy Electric Guitar Tiger Aged Olive,700.0,,,USD,3000,https://www.ebay.com/itm/197987509776?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item2e18f9a610:g:7p0AAeSw9JRpUwy7,US
v1|365942424200|0,Epiphone Les Paul Studio Solid Body Electric Guitar - Worn Cherry with bag,349.95,,,USD,3000,https://www.ebay.com/itm/365942424200?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item5533de4288:g:SgkAAeSwWHlo--Fk,US
v1|177596658963|0,Fender Player II Stratocaster Electric Guitar Gloss Black Finish,629.95,699.95,70.00,USD,3000,https://www.ebay.com/itm/177596658963?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item295995f513:g:k90AAeSw-C5pH4an,US
v1|366046201143|0,Epiphone Les Paul Standard 60s Quilt (Transparent Blue) 833591 Electric Guitar,708.24,,,USD,1000,https://www.ebay.com/itm/366046201143?_skw=electric+guitar+%28Fender%2CGibson%2CIbanez%2CPRS%2CYamaha%2CEpiphone%2CSchecter%29+%28Telecaster%2CStratocaster%2CTele%2CStrat%2CHollow%2CSemi-Hollow%2CSolid%2CLes+Paul%2CSG%2CJazzmaster%2CJaguar%29&hash=item553a0dc537:g:BAoAAeSwXfdpNrf6,JP
